s1,s2,s3,s4,s5
84,81,82,99,90
99,84,81,81,89
84,92,90,96,87
97,96,90,93,82
87,99,98,92,99
88,95,96,81,86
81,86,82,91,80
84,87,91,99,98
80,80,86,82,97
81,96,96,82,97
84,82,80,86,85
86,94,96,89,96
85,88,99,94,96
83,96,88,80,93
96,90,83,90,87
81,80,99,83,96
82,88,92,82,83
82,87,94,92,85
99,85,88,93,97
97,99,96,98,82
95,86,95,86,85
91,88,88,84,82
85,90,88,82,95
95,92,92,86,98
93,87,85,91,96
86,86,93,84,92
80,87,94,95,81
98,85,91,80,94
99,83,96,99,82
98,89,97,85,81
85,87,92,95,80
85,87,97,87,85
81,80,92,83,99
89,84,96,88,81
89,91,94,93,84
88,99,86,99,88
86,96,89,89,81
81,82,95,89,95
88,99,91,81,96
89,84,89,83,90
99,93,82,83,97
88,88,97,96,92
95,94,97,85,89
80,81,86,93,85
88,81,83,83,83
97,87,93,94,81
87,93,96,90,94
82,98,94,81,89
98,85,88,85,94
94,90,92,84,85
89,83,95,84,99
99,82,85,82,92
92,99,91,96,88
88,90,92,92,95
89,85,85,96,95
84,98,92,82,83
94,91,96,89,87
89,91,98,89,90
85,90,81,91,87
91,91,81,83,92
85,84,97,92,82
99,81,94,80,96
87,80,81,98,84
90,80,86,84,84
88,91,83,98,85
89,98,88,96,80
99,97,95,81,82
94,84,86,86,99
81,83,97,92,89
92,86,99,95,97
82,96,87,83,85
96,88,83,99,85
94,85,81,96,89
80,88,92,80,90
80,92,88,82,97
95,82,87,99,93
93,93,84,98,92
93,92,86,82,89
99,93,83,99,89
93,92,96,82,92
91,85,99,86,94
95,99,99,98,82
87,89,81,94,97
94,87,99,80,80
83,97,89,81,85
83,99,97,97,81
82,89,91,98,93
90,80,92,87,88
98,87,91,81,87
97,84,91,81,86
98,96,96,96,92
98,97,92,81,88
97,83,83,93,94
98,80,92,90,96
83,85,80,81,92
94,84,86,83,80
81,81,81,82,93
81,90,83,89,92
84,93,93,93,87
86,80,96,93,89
86,99,92,89,86
88,87,81,83,86
86,89,88,96,99
80,93,91,92,96
86,89,93,96,82
89,80,95,99,93
97,81,95,84,86
91,85,99,96,88
84,92,83,84,86
94,98,84,90,97
94,91,80,80,94
99,99,87,86,92
92,87,86,81,86
90,99,80,88,92
92,94,89,83,80
92,97,96,82,83
96,82,81,97,85
86,97,89,80,88
96,95,93,81,85
80,94,83,80,83
91,81,96,86,80
83,99,83,84,87
91,89,88,85,97
87,90,85,93,87
88,90,85,96,93
92,98,91,96,97
90,89,95,92,86
85,94,91,80,87
97,80,95,85,86
84,84,90,85,88
99,98,98,83,98
87,88,90,93,98
96,90,98,91,88
84,95,93,88,99
90,84,98,97,86
80,87,81,83,96
83,92,95,97,83
90,95,87,83,82
95,91,95,91,99
84,95,99,97,85
90,91,99,94,89
96,83,81,80,98
92,99,99,96,86
98,83,82,88,99
95,81,91,97,83
99,87,96,82,84
93,94,88,87,81
82,98,97,92,80
83,97,98,85,94
98,89,87,84,80
86,96,82,93,99
98,87,91,98,94
93,99,80,81,97
87,86,95,83,94
92,91,90,82,80
87,95,94,83,94
95,92,92,98,88
96,98,92,98,94
81,93,92,98,98
83,92,88,80,85
99,86,82,97,97
96,95,94,89,90
93,91,98,93,91
86,97,80,86,98
93,86,87,84,94
96,88,95,98,93
84,80,91,95,91
84,91,98,96,84
90,93,82,84,96
87,91,99,85,83
99,98,90,83,88
83,91,96,88,88
84,96,89,90,84
84,97,91,92,84
97,82,97,88,86
81,82,91,97,97
99,92,86,92,97
80,80,94,87,89
85,92,80,93,83
82,87,89,98,86
99,86,91,92,91
87,92,96,85,96
81,88,97,82,95
91,91,94,92,82
93,91,97,88,96
99,93,85,81,88
84,99,82,91,99
97,91,88,95,99
97,89,91,83,81
93,95,92,97,80
86,93,91,99,82
88,90,94,85,94
86,94,83,85,85
85,97,90,93,89
99,85,87,93,84
85,81,84,98,87
82,88,86,81,86
94,94,84,86,92
93,89,81,81,98
81,99,91,98,97
91,86,87,99,97
87,98,98,97,95
88,92,86,80,83
89,87,81,91,94
82,98,99,92,95
95,81,82,96,95
80,83,88,83,81
86,86,92,92,96
94,93,91,81,86
87,86,84,94,91
86,84,99,93,87
83,83,99,99,96
98,85,92,93,90
98,97,86,84,86
96,87,96,92,98
94,88,92,86,83
99,88,85,90,82
95,88,89,97,91
89,91,97,87,84
86,93,92,94,97
88,99,97,95,94
84,82,94,93,85
97,87,97,97,87
87,98,81,94,98
96,87,86,85,82
84,96,83,82,97
82,88,93,85,94
92,91,94,88,88
91,96,83,95,99
89,81,93,97,99
80,94,95,88,83
89,82,96,89,88
89,97,90,89,83
90,82,87,82,83
88,89,83,96,95
94,86,96,87,87
90,83,82,92,86
82,98,94,97,80
88,86,90,83,99
80,91,80,84,93
99,97,80,97,92
89,92,94,97,95
97,94,80,86,93
98,81,92,88,92
89,89,99,99,86
82,83,93,91,80
95,86,90,96,95
84,85,98,91,82
86,97,81,94,82
99,86,91,96,89
91,98,91,96,80
99,91,90,84,88
99,89,96,90,81
92,91,94,98,86
94,97,83,87,95
80,86,85,97,94
90,87,95,93,86
91,82,98,96,98
95,95,94,92,94
82,83,85,87,82
88,80,91,98,85
92,88,99,96,96
87,90,95,88,83
83,83,90,84,94
88,88,93,93,99
94,99,83,89,87
85,99,94,98,82
88,91,90,86,97
96,93,83,86,93
82,95,98,81,86
90,96,85,80,97
92,99,98,98,82
82,98,89,80,85
88,86,98,92,91
82,83,95,95,80
90,81,96,90,83
85,93,81,89,93
86,93,96,87,94
81,81,91,90,92
97,90,82,99,85
82,87,92,90,91
86,93,80,83,92
88,98,91,99,88
99,80,94,90,86
98,98,86,93,81
90,83,91,98,95
96,90,90,95,88
89,89,82,83,95
82,92,94,92,85
83,85,96,91,90
98,98,92,81,90
89,81,80,96,86
93,88,94,96,92
82,92,93,91,99
84,84,85,94,99
80,96,95,91,97
83,99,97,85,92
84,90,92,99,88
97,91,91,99,84
84,95,80,86,85
88,90,97,97,99
96,81,86,87,91
85,93,98,91,81
87,80,91,92,82
94,89,86,91,97
86,81,95,94,86
89,92,83,83,96
83,83,90,91,89
91,94,91,91,82
96,99,84,86,89
95,82,88,86,82
96,90,93,92,99
94,93,92,94,80
91,81,89,89,96
85,98,99,85,97
83,91,88,87,80
87,99,92,81,90
81,89,92,97,91
89,90,99,94,82
83,93,90,93,92
98,92,95,98,90
81,81,86,91,91
84,81,97,92,89
87,98,92,84,87
95,97,98,91,88
99,82,99,94,90
99,81,82,94,98
92,96,82,81,80
92,95,81,95,98
83,83,82,96,99
99,98,93,99,87
87,91,81,82,84
85,82,85,93,98
81,92,90,86,95
87,93,96,93,90
90,80,81,82,87
83,97,82,99,86
80,87,80,82,87
94,92,91,92,90
89,85,83,95,80
88,90,97,82,94
94,91,99,97,94
85,93,81,88,88
80,80,96,80,82
80,96,95,96,98
82,94,97,87,94
80,97,83,86,94
94,88,97,87,81
88,84,93,89,87
81,82,89,99,99
82,91,90,87,90
93,84,91,81,84
90,81,80,85,81
89,80,88,96,99
97,86,97,94,98
85,94,96,86,87
86,83,87,93,97
90,91,83,98,96
91,94,99,94,95
99,86,80,96,84
88,92,96,83,87
88,85,88,85,91
84,89,87,80,85
88,90,99,93,99
90,86,98,95,92
92,97,99,98,89
93,99,95,99,89
80,91,88,84,98
88,96,94,86,94
99,92,97,89,92
95,88,87,93,87
89,96,87,84,86
92,91,83,91,80
83,89,88,98,97
89,82,95,88,91
96,83,80,80,93
94,87,98,84,84
96,91,96,87,82
99,91,86,83,84
93,82,94,91,95
96,91,88,82,96
98,87,86,93,92
85,84,86,87,87
93,89,85,83,83
82,80,99,81,95
91,95,82,85,99
93,96,87,87,84
81,92,90,85,85
89,93,89,81,85
80,81,93,82,94
99,94,96,97,82
89,99,87,96,94
80,91,81,83,83
98,93,87,84,83
85,83,93,97,91
97,90,94,86,87
87,80,86,82,97
99,81,83,82,88
80,92,90,88,92
88,97,96,86,94
86,96,96,90,83
92,92,89,85,83
86,84,90,89,98
90,95,81,91,92
92,82,93,98,90
96,81,85,93,93
90,83,81,99,85
86,85,82,90,97
90,91,91,81,95
92,84,85,92,91
83,94,85,84,90
80,98,94,85,91
90,85,99,84,99
90,81,84,99,99
87,85,95,89,84
99,94,91,82,89
98,87,92,87,87
89,91,83,92,92
99,99,85,84,93
94,98,94,92,85
98,87,98,91,82
95,87,81,85,81
96,85,81,87,89
99,99,92,84,95
81,85,83,99,87
99,90,81,86,96
97,99,91,89,88
84,80,88,97,96
99,85,82,96,85
94,97,83,81,89
95,85,85,94,81
91,91,99,96,80
84,80,91,84,87
83,80,91,93,90
88,88,83,92,81
96,84,99,80,82
88,95,95,95,88
98,90,94,96,90
96,89,83,97,83
84,89,86,96,87
85,86,87,91,91
80,92,91,97,94
85,91,86,95,99
95,84,88,98,83
98,95,95,86,88
92,86,86,95,82
82,83,95,90,94
91,83,87,82,93
87,85,88,93,92
98,82,91,93,89
96,97,83,90,83
97,82,95,98,81
95,89,82,80,88
98,81,80,96,96
84,82,81,88,92
93,83,86,81,84
91,84,84,85,89
83,91,88,99,83
92,94,80,80,95
94,82,91,88,84
81,94,88,81,87
94,93,84,98,88
86,84,83,80,80
85,88,81,81,92
85,83,99,93,82
90,88,93,81,90
80,82,95,83,86
92,86,87,90,83
96,81,82,99,94
86,87,98,99,87
97,84,86,82,91
93,98,93,94,83
96,86,94,93,97
85,89,91,94,88
96,90,98,81,97
90,83,83,93,90
95,89,89,92,94
83,97,82,88,88
87,88,99,94,95
90,94,98,90,89
86,82,84,89,93
89,92,94,93,81
87,81,80,85,83
89,82,80,95,95
85,87,96,85,80
83,97,91,82,90
80,92,85,90,84
89,99,93,93,91
84,85,94,80,81
87,94,86,98,86
81,99,87,90,89
95,82,91,95,87
84,87,96,88,95
87,90,86,99,96
92,98,95,80,93
80,86,84,89,96
96,91,89,91,95
81,96,93,84,97
98,99,94,90,88
98,83,82,91,90
92,89,91,96,80
97,91,83,88,85
84,91,91,87,88
96,82,84,92,86
97,92,94,80,86
80,81,98,86,80
88,94,84,86,89
88,91,86,89,85
95,84,86,82,97
88,91,82,95,98
81,89,86,92,97
82,93,98,92,83
89,96,94,90,84
87,84,92,83,80
87,98,83,85,80
95,84,93,80,86
88,81,85,92,92
94,87,89,97,98
82,96,83,98,89
97,87,96,90,96
84,96,90,89,89
85,87,98,89,82
94,82,99,85,87
85,83,98,83,84
86,94,96,97,96
77,73,74,72,76
72,74,71,73,73
74,71,72,74,71
78,71,77,74,70
70,71,70,74,75
73,73,71,71,77
73,76,74,71,78
74,78,78,76,78
72,73,76,72,72
75,71,76,73,77
77,76,75,78,73
75,73,76,76,70
76,73,72,78,77
77,72,76,75,72
76,74,74,78,78
78,70,73,76,72
73,74,70,75,77
75,77,70,75,73
72,70,74,74,75
75,70,73,77,71
70,73,73,76,77
76,78,72,75,73
73,76,75,78,72
72,71,72,75,73
74,76,70,71,73
70,70,77,72,78
77,72,72,74,76
78,76,73,72,74
74,78,70,75,71
71,75,76,76,72
76,73,70,71,78
71,72,73,70,73
73,71,70,71,77
70,77,75,77,78
76,76,74,74,74
71,76,70,71,70
74,73,70,78,70
73,72,70,70,78
76,77,74,72,78
77,72,75,74,74
73,73,70,78,77
75,73,74,72,76
71,70,72,72,76
75,76,74,71,72
71,75,77,71,71
75,75,76,75,74
74,73,75,70,77
71,76,71,77,75
75,78,71,77,73
73,76,70,70,76
72,74,75,78,78
75,71,77,77,72
76,71,71,78,76
75,73,77,71,70
73,76,76,71,72
76,74,78,78,74
75,71,72,72,73
72,74,70,77,76
70,73,73,76,70
74,76,77,73,74
72,78,77,75,78
75,76,71,74,74
73,71,73,71,77
74,72,72,72,73
73,70,75,71,75
72,73,73,70,72
73,71,71,75,71
77,71,75,78,76
70,75,77,76,71
77,76,76,70,70
76,75,71,75,71
71,77,73,77,76
78,75,71,73,76
71,76,70,74,71
77,78,77,74,77
72,75,75,71,76
75,77,78,70,76
73,71,76,70,76
72,73,71,78,76
76,71,76,72,76
74,76,77,77,75
74,70,78,75,72
73,73,74,77,76
71,76,74,77,72
77,72,74,74,74
72,78,78,72,72
72,77,70,74,75
76,74,74,76,75
70,71,76,72,70
72,75,76,78,78
71,75,75,77,77
74,77,78,72,70
71,72,78,75,72
73,75,72,75,76
74,72,74,74,74
73,77,70,73,74
75,76,73,78,75
76,77,73,74,71
73,73,78,77,71
71,74,73,71,71
74,75,73,71,77
76,71,70,70,73
78,78,73,76,70
76,77,74,78,72
77,76,76,78,72
76,76,74,74,70
71,72,77,71,73
78,78,78,73,78
75,76,71,71,71
70,70,77,70,76
74,70,77,78,75
77,76,77,71,77
77,70,78,78,78
74,71,76,71,73
71,78,72,77,78
74,74,74,73,74
77,76,72,77,74
75,75,70,77,72
78,76,71,75,74
77,71,70,76,78
71,76,76,73,72
74,73,71,71,74
70,70,73,78,76
73,76,78,74,76
75,74,74,78,73
78,73,71,70,70
70,73,75,77,76
72,74,72,71,76
74,73,75,72,76
70,77,72,78,70
70,76,77,70,73
73,78,72,70,76
76,76,72,72,73
76,78,75,72,74
77,70,75,78,78
77,77,77,71,70
70,76,73,71,75
70,78,71,77,77
73,70,75,70,77
71,73,73,78,71
70,72,74,74,76
75,70,74,78,74
72,70,78,74,74
73,74,77,78,71
72,70,72,72,72
73,78,70,75,78
75,71,71,76,71
72,73,77,70,71
77,71,73,72,76
77,78,77,75,78
74,77,71,71,73
74,74,77,70,71
74,71,78,74,70
76,72,70,72,73
73,76,76,71,71
76,70,74,74,76
72,77,70,71,70
77,72,78,71,75
77,74,71,72,70
75,75,78,70,75
70,73,78,70,77
71,71,76,71,73
74,75,72,78,76
70,76,74,75,75
77,76,70,77,75
77,72,71,74,75
70,75,75,70,78
73,74,73,70,77
77,73,73,75,78
78,75,74,76,76
78,74,72,70,75
75,70,76,70,70
76,73,75,70,76
75,75,74,75,74
73,76,76,77,76
78,73,74,72,76
73,75,74,72,70
71,77,78,76,75
76,71,78,71,77
72,77,73,72,70
74,75,76,76,72
74,70,72,76,75
78,78,77,74,76
72,77,78,75,78
76,74,76,71,78
73,74,70,78,78
74,76,73,73,70
70,74,78,78,71
78,78,78,75,76
70,76,74,71,74
72,76,73,74,73
78,77,77,74,78
77,75,78,70,76
75,71,78,72,74
71,73,72,71,78
72,74,74,78,73
72,77,70,78,70
72,76,75,71,76
73,70,70,77,77
76,76,73,76,71
70,76,75,75,75
78,77,74,73,72
75,75,70,74,75
74,73,75,78,73
77,77,75,78,70
76,72,75,76,71
78,77,73,78,74
73,76,71,76,77
78,75,72,70,76
77,77,72,71,72
70,78,72,77,70
74,76,74,78,73
77,71,77,73,71
76,74,74,75,70
77,77,71,73,75
74,70,77,71,75
70,71,77,72,74
71,70,74,76,72
70,73,77,73,72
78,74,76,76,73
75,77,71,70,78
77,74,75,75,75
74,77,74,74,73
78,78,72,70,73
72,74,77,77,73
70,74,70,74,70
72,70,78,77,74
70,78,71,75,78
73,77,77,76,77
78,74,72,76,76
72,73,72,75,73
75,74,77,74,75
71,77,75,70,71
70,71,74,78,70
72,73,73,74,70
77,70,76,76,70
72,73,77,76,71
71,75,71,72,73
75,73,71,74,70
75,71,70,78,76
75,75,73,75,78
73,71,74,71,78
74,71,78,70,71
77,78,76,71,72
70,71,74,71,74
72,76,76,70,77
70,76,76,72,74
70,77,77,77,71
72,78,71,77,75
71,77,73,74,78
78,75,78,72,73
77,77,78,70,72
77,71,73,74,76
72,78,74,77,73
74,70,75,74,77
77,78,77,71,72
72,70,71,72,70
72,73,77,76,74
76,75,72,78,70
74,76,73,74,72
71,73,77,70,70
75,77,74,78,73
71,73,71,73,71
76,77,70,78,74
74,78,78,77,70
73,78,74,71,75
72,70,73,78,74
77,78,73,72,75
71,74,78,77,71
74,74,71,74,78
70,78,72,72,75
73,78,75,73,77
70,78,75,78,74
70,72,78,77,74
74,75,74,73,70
75,73,73,77,77
74,71,76,77,75
78,72,70,75,73
71,75,73,76,72
77,76,77,77,73
78,71,78,73,74
70,73,71,71,73
76,75,75,70,74
71,71,74,76,71
72,78,78,73,76
70,76,70,75,76
71,70,78,73,72
74,70,70,76,78
71,78,70,70,75
75,75,73,71,78
78,74,74,76,75
72,70,78,71,77
73,78,78,71,77
72,78,77,70,74
72,73,71,71,71
73,73,72,72,78
72,72,71,75,72
78,76,71,76,70
75,71,76,70,72
73,72,78,70,73
77,73,75,71,73
75,77,75,72,70
77,78,71,71,73
75,73,70,72,77
71,76,73,75,76
76,71,71,73,77
78,72,71,73,70
71,74,70,73,71
78,77,77,73,73
70,76,70,76,76
78,74,75,78,72
72,72,70,74,76
72,75,72,71,71
70,73,72,71,76
71,73,75,70,73
77,76,74,77,78
73,70,73,72,74
72,74,74,78,78
71,75,78,72,77
75,77,76,71,76
71,75,72,78,78
71,78,78,78,75
70,71,77,72,75
77,72,78,71,72
72,70,71,75,78
72,77,72,70,72
75,78,75,71,76
75,78,70,71,74
73,73,74,72,77
75,73,72,72,72
73,71,76,72,75
70,70,78,73,75
74,75,71,75,71
70,73,75,74,75
75,70,75,70,77
74,73,72,73,78
73,76,71,74,77
73,76,73,77,75
74,75,74,73,74
77,74,77,70,76
77,71,77,73,75
74,70,78,72,70
70,77,70,71,76
78,77,77,71,74
72,77,77,75,75
72,78,75,77,70
73,78,76,77,76
74,78,78,73,72
77,72,78,70,78
77,75,75,74,77
78,71,75,76,71
71,78,73,78,74
73,71,75,74,78
73,74,74,72,77
76,72,73,70,76
78,71,70,75,75
71,73,74,72,78
74,75,76,74,72
77,77,74,71,76
78,75,72,78,74
72,70,73,78,77
71,71,76,77,73
75,74,73,75,72
74,73,73,72,74
74,70,71,76,76
72,76,78,74,74
72,78,73,77,76
78,78,70,70,76
70,78,74,74,75
75,73,71,73,73
71,73,70,78,72
70,77,72,75,78
76,78,75,74,70
76,70,75,74,70
71,70,77,71,71
77,71,71,76,72
70,72,71,75,73
77,75,77,76,77
73,74,71,75,78
76,77,78,78,76
70,77,78,70,74
73,75,71,77,75
72,71,71,75,74
77,78,76,76,72
74,71,75,72,76
70,75,74,78,73
76,71,73,73,73
71,75,78,74,70
78,78,75,74,75
74,77,72,75,74
72,73,75,77,71
73,75,70,76,77
78,71,75,75,77
73,78,75,78,76
72,71,70,78,70
70,72,75,75,78
74,75,78,78,78
